apellidosnombre;;;edad;;;procedencia;;;oficio;;;lugarfallecimiento;;;fechafallecimiento
Alvaro Moreno, Ramon;;;31;;;Cartagena (Murcia);;;-;;;Steyr - campo nazi;;;10 de abril de 1942
Amador Mayano, Eugenio;;;36;;;Ceuta;;;-;;;Gusen - Campo de concentración (Austria);;;13 de marzo de 1942
Amarat Rebollo, Juan;;;20;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;15 de noviembre de 1941
Amat Cantón, Juan;;;23;;;Alicún (Almería);;;-;;;Gusen - Campo de concentración (Austria);;;29 de diciembre de 1941
Amat Carol, Ramon;;;24;;;Xàtiva (Valencia);;;-;;;Gusen - Campo de concentración (Austria);;;20 de diciembre de 1941
Amat Guibernau, José;;;29;;;Nules (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;7 de noviembre de 1941
Amat Pérez, Manuel;;;34;;;Elda (Alacant);;;-;;;Gusen - Campo de concentración (Austria);;;21 de enero de 1942
Ambroj Rincón, José;;;40;;;Lécera (Zaragoza);;;-;;;Mauthausen;;;22 de octubre de 1942
Ambroj Rincón, Ramón;;;37;;;Lécera (Zaragoza);;;-;;;Mauthausen;;;23 de mayo de 1942
Ametller Reig, Lluís;;;31;;;Vilademuls (Galliners) (Girona);;;-;;;Mauthausen - Austria - campo nazi;;;4 de diciembre de 1942
Amiento Carmen, Ramón;;;37;;;Mataró (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;22 de octubre de 1941
Amigo Núñez, Juan;;;30;;;Íllora (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;19 de diciembre de 1941
Amo Díaz, Antonio del;;;27;;;Tiana (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;15 de noviembre de 1941
Amo Galilea, Adolfo del;;;35;;;Santander;;;-;;;Mauthausen (Austria);;;21 de febrero de 1943
Amor Hurtado, Martín del;;;29;;;Cehegín (Murcia);;;-;;;Gusen - Campo de concentración (Austria);;;19 de noviembre de 1941
Amorós Maestre, José;;;55;;;Petrer (Alacant/Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;4 de julio de 1941
Amorós Pagán, Rafael;;;37;;;Caudete (Albacete);;;-;;;Gusen - Campo de concentración (Austria);;;13 de julio de 1941
Andrada Rey, Manuel;;;50;;;Casar de Cáceres (Cáceres);;;-;;;Gusen - Campo de concentración (Austria);;;26 de mayo de 1941
Andreo Jordán, Francisco;;;67;;;Vélez-Rubio (Almería);;;-;;;Hartheim;;;22 de septiembre de 1941
Andreo Rodríguez, Manuel;;;26;;;Daya (Alacant/Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;4 de febrero de 1941
Andrés Andreu, Agustín;;;45;;;Nonaspe (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;2 de octubre de 1941
Andrés Bascones, Cirilo;;;28;;;Nocedo-Valle de Sedano (Burgos);;;-;;;Gusen - Campo de concentración (Austria);;;2 de diciembre de 1941
Andrés Córdoba, Juan;;;27;;;Sollana (Valencia);;;-;;;Gusen - Campo de concentración (Austria);;;15 de agosto de 1941
Andrés Díez, Emilio;;;25;;;Barcelona;;;-;;;Hartheim (Austria);;;30 de septiembre de 1941
Andrés Jaulín, Francisco;;;25;;;Loscos (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;29 de noviembre de 1941
Andrés Medrano, Antonio;;;29;;;Zaragoza;;;-;;;Gusen - Campo de concentración (Austria);;;19 de marzo de 1943
Andrés Tapia, Gabriel;;;37;;;Villodrigo (Palencia);;;-;;;Gusen - Campo de concentración (Austria);;;25 de diciembre de 1941
